code,ig_display,loinc_display,loinc_status,overlap,verdict,files
24558-9,Ultrasound of abdomen study,US Abdomen,ACTIVE,0.50,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
24579-5,XR Bones.long Survey,XR Long bones Survey Views,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
24590-2,MR Brain,MR Brain,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
24606-6,MG Breast Screening,MG Breast Screening,ACTIVE,1.00,相符,input/fsh/examples/examples.fsh; input/fsh/valuesets/VS-ExtendedDataset.fsh
24616-5,US Carotid aa,US Carotid arteries,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
24648-8,XR Chest PA upright,XR Chest PA upright,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
24829-4,XR Mandible Views,XR Mandible Views,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
25010-0,US Thyroid,US Thyroid gland,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
25145-4,Bacteria [Presence] in Urine sediment by Light microscopy,Bacteria [Presence] in Urine sediment by Light microscopy,ACTIVE,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,DISCOURAGED,1.00,相符,input/fsh/valuesets/VS-ExtendedDataset.fsh
25390-6,CYFRA 21-1 [Mass/volume] in Serum or Plasma,Cytokeratin 19 [Mass/volume] in Serum or Plasma,ACTIVE,0.67,部分相符（建議人工判讀）,input/fsh/valuesets/VS-ExtendedDataset.fsh
